filter_q,delta,arm,n_slots,pinned_surviving,ari_k2,ari_maxk,best_k,null_k2_p95,null_maxk_p95
0.2,0.0,dwot_fixed,39,3,0.0001664252473264092,0.023362477152462275,3,0.018163845298406,0.0240311349367462
0.2,0.0,tv,39,3,0.002373375047197799,0.023143764402863292,5,0.018163845298406,0.0240311349367462
0.2,0.0,tabular,39,3,-0.0041390014658963525,0.010861762904738649,7,0.018163845298406,0.0240311349367462
0.2,0.25,dwot_fixed,39,3,-0.0016147496906860684,0.02837780994445063,3,0.018163845298406,0.0240311349367462
0.2,0.25,tv,39,3,0.002373375047197799,0.01962788795747291,4,0.018163845298406,0.0240311349367462
0.2,0.25,tabular,39,3,-0.0041390014658963525,0.0149997751739301,7,0.018163845298406,0.0240311349367462
0.2,0.5,dwot_fixed,39,3,-0.0016147496906860684,0.02837780994445063,3,0.018163845298406,0.0240311349367462
0.2,0.5,tv,39,3,0.002373375047197799,0.018405506476613733,4,0.018163845298406,0.0240311349367462
0.2,0.5,tabular,39,3,-0.0041390014658963525,0.04502066438592501,3,0.018163845298406,0.0240311349367462
0.2,1.0,dwot_fixed,39,4,0.0001664252473264092,0.020580819234387326,5,0.018163845298406,0.0240311349367462
0.2,1.0,tv,39,4,0.0001664252473264092,0.034571169919888886,5,0.018163845298406,0.0240311349367462
0.2,1.0,tabular,39,4,0.0074775926717123966,0.0644768328518468,6,0.018163845298406,0.0240311349367462
0.2,2.0,dwot_fixed,39,6,-0.0016147496906860684,0.030345700302092316,6,0.018163845298406,0.0240311349367462
0.2,2.0,tv,39,6,-0.003211390883594785,0.0540954103773731,4,0.018163845298406,0.0240311349367462
0.2,2.0,tabular,39,6,0.11501303528402101,0.2211881918133293,6,0.018163845298406,0.0240311349367462
0.2,4.0,dwot_fixed,39,6,0.005233149443708201,0.2655269649948772,3,0.018163845298406,0.0240311349367462
0.2,4.0,tv,39,6,0.00828523652839959,0.25602129487050523,3,0.018163845298406,0.0240311349367462
0.2,4.0,tabular,39,6,0.23797408200012035,0.33655147215917713,4,0.018163845298406,0.0240311349367462
0.0,0.0,dwot_fixed,49,6,0.0001664252473264092,0.022586357555464478,3,0.018163845298406,0.0240311349367462
0.0,0.0,tv,49,6,0.0001664252473264092,0.011082539343014668,5,0.018163845298406,0.0240311349367462
0.0,0.0,tabular,49,6,-0.0041390014658963525,0.011054229289211506,7,0.018163845298406,0.0240311349367462
0.0,0.25,dwot_fixed,49,6,0.0001664252473264092,0.022586357555464478,3,0.018163845298406,0.0240311349367462
0.0,0.25,tv,49,6,0.0001664252473264092,0.012646669901452709,6,0.018163845298406,0.0240311349367462
0.0,0.25,tabular,49,6,-0.0041390014658963525,0.03230173871736907,3,0.018163845298406,0.0240311349367462
0.0,0.5,dwot_fixed,49,6,0.0001664252473264092,0.017726566321381473,4,0.018163845298406,0.0240311349367462
0.0,0.5,tv,49,6,0.0001664252473264092,0.01773568901093118,4,0.018163845298406,0.0240311349367462
0.0,0.5,tabular,49,6,-0.0041390014658963525,0.05197796788066245,4,0.018163845298406,0.0240311349367462
0.0,1.0,dwot_fixed,49,6,0.0001664252473264092,0.03305493471356311,4,0.018163845298406,0.0240311349367462
0.0,1.0,tv,49,6,0.0001664252473264092,0.05100034371816349,4,0.018163845298406,0.0240311349367462
0.0,1.0,tabular,49,6,-0.00245137289200409,0.08206852563983479,4,0.018163845298406,0.0240311349367462
0.0,2.0,dwot_fixed,49,6,-0.0016147496906860684,0.04019252271030845,4,0.018163845298406,0.0240311349367462
0.0,2.0,tv,49,6,-0.0016147496906860684,0.05987526889047543,4,0.018163845298406,0.0240311349367462
0.0,2.0,tabular,49,6,0.1254275377529727,0.2184476170266155,5,0.018163845298406,0.0240311349367462
0.0,4.0,dwot_fixed,49,6,0.00828523652839959,0.25070339704403,3,0.018163845298406,0.0240311349367462
0.0,4.0,tv,49,6,0.00828523652839959,0.25602129487050523,3,0.018163845298406,0.0240311349367462
0.0,4.0,tabular,49,6,0.23797408200012035,0.3289657414431011,4,0.018163845298406,0.0240311349367462
