MP	biological_label	confidence	note	basis
MP1	filler_cluster	drop	single-gene (JUN) fallback cluster; never the top MP for ANY cell in either cell set	ever_top_MP=FALSE in both cell sets; n_genes=1; silhouette=-0.031 (only negative)
MP2	Classical monocyte / neutrophil	normal	S100A8/12, VCAN, FCN1, CD14	code_class=normal_like (max_jaccard 0.342)
MP3	NK / cytotoxic T	normal	GNLY, GZMB, NKG7, PRF1 (lymphoid)	code_class=normal_like (max_jaccard 0.452)
MP4	Cell cycle / proliferation	normal	MKI67, TOP2A, TYMS, BIRC5 (generic)	code_class=normal_like (max_jaccard 0.536)
MP5	Antigen presentation / HLA-II (monocytic AML)	robust_tumor	HLA-DQ/DP/DR, CIITA, CD74. Mono_DC HSI 0.93 on malignant cells but 0.59 on all CCC-bin cells	code_class=tumor_specific (max_jaccard 0.153)
MP6	Non-classical monocyte / IFN response	robust_tumor	FCGR3A, MS4A7, IFITM3, LILRB1/2. Mono_DC HSI 0.96 malignant-only vs 0.66 all cells	code_class=tumor_specific (max_jaccard 0.182)
MP7	Granulocytic progenitor (GMP-like)	normal	ELANE, MPO, PRTN3, AZU1	code_class=normal_like (max_jaccard 0.333)
MP8	Plasma / B (Ig)	likely_contaminant	JCHAIN, MZB1, CD79 -- plasma/B markers inside a program derived from malignant cells, which reads as ambient RNA or misassignment. NOTE: the original reason given here, 'diffuse across bins, no dominant bin', is REFUTED: MP8's HSI is 0.39, higher than MP4 (0.25) and MP9 (0.24), both labelled normal	JUDGEMENT, biological. The HSI reason previously given here does not hold -- see note
MP9	Stress / immediate-early genes	normal	JUN, FOS, EGR1, HSPA1A (technical IEG). Dominant bin changes Mono_DC -> T_NK between cell sets	code_class=normal_like (max_jaccard 0.480)
MP10	Inflammatory / myeloid secretory	robust_tumor	IL1B, CXCL2, CCL3/4, IL1RN. Mono_DC HSI 0.97 malignant-only vs 0.74 all cells; niche-inflammation program	code_class=tumor_specific (max_jaccard 0.160)
