##	chrom_arms_grch38.tsv -- GRCh38 chromosome arm boundaries for arm-level CNV event calling.
##	SOURCE: UCSC hg38 cytoBand, the two flanking "acen" bands per chromosome (cen_start = start of
##	the p-side acen band, cen_end = end of the q-side acen band). chrom_len = UCSC hg38 chromInfo.
##	USED BY: LCC_proj/scripts/01_parse_infercnv_regions.R (gene -> arm assignment).
##	Genome build is confirmed by the data: inferCNV chr17 regions run to 83,051,810 vs
##	GRCh38 chr17 = 83,257,441 (hg19 chr17 = 81,195,210), so the runs are GRCh38.
##	acrocentric = TRUE -> the p arm carries no assayable genes; excluded via LCC_ARMS_EXCLUDE.
chrom	chrom_len	cen_start	cen_end	acrocentric
chr1	248956422	121700000	125100000	FALSE
chr2	242193529	91800000	96000000	FALSE
chr3	198295559	87800000	94000000	FALSE
chr4	190214555	48200000	51800000	FALSE
chr5	181538259	46100000	50000000	FALSE
chr6	170805979	58500000	62600000	FALSE
chr7	159345973	58100000	62100000	FALSE
chr8	145138636	43200000	47200000	FALSE
chr9	138394717	42200000	45500000	FALSE
chr10	133797422	38000000	41600000	FALSE
chr11	135086622	51000000	55800000	FALSE
chr12	133275309	33200000	37800000	FALSE
chr13	114364328	16500000	18900000	TRUE
chr14	107043718	16100000	18200000	TRUE
chr15	101991189	17500000	20500000	TRUE
chr16	90338345	35300000	38400000	FALSE
chr17	83257441	22700000	27400000	FALSE
chr18	80373285	15400000	21500000	FALSE
chr19	58617616	24200000	28100000	FALSE
chr20	64444167	25700000	30400000	FALSE
chr21	46709983	10900000	13000000	TRUE
chr22	50818468	13700000	17400000	TRUE
chrX	156040895	58100000	63800000	FALSE
chrY	57227415	10300000	10600000	FALSE
