##	fibrosis_ecm_panel.tsv -- curated gene panels for the LCC side branch.
##	category      = analysis family (one FDR family per category in 06_de_pseudobulk.R)
##	gene          = HGNC symbol as it appears in GRCh38-2020-A (the cohort's reference)
##	alias         = legacy symbol to also probe, for datasets annotated on an older GENCODE
##	rationale     = why the gene is in the panel; keeps the panel auditable rather than ad hoc
##	SOURCES: myelofibrosis / BM fibrosis literature (MK-derived TGFB1-PDGF-CXCL4 axis), MSigDB
##	Hallmark EMT + Reactome ECM organization membership, BoneMarrowMap stromal markers.
##	Panel membership is FROZEN before any group comparison is run (no post-hoc gene picking).
category	gene	alias	rationale
collagen_ecm_structural	COL1A1		fibrillar collagen I, the primary reticulin/collagen fibrosis product
collagen_ecm_structural	COL1A2		fibrillar collagen I
collagen_ecm_structural	COL3A1		reticulin fibre collagen III, graded in BM fibrosis scoring
collagen_ecm_structural	COL4A1		basement membrane collagen
collagen_ecm_structural	COL5A1		fibrillogenesis regulator
collagen_ecm_structural	COL5A2		fibrillogenesis regulator
collagen_ecm_structural	COL6A1		microfibrillar collagen, MSC-derived
collagen_ecm_structural	COL6A2		microfibrillar collagen
collagen_ecm_structural	COL6A3		microfibrillar collagen
collagen_ecm_structural	COL11A1	 	activated-fibroblast collagen
collagen_ecm_structural	FN1		fibronectin, core provisional matrix
collagen_ecm_structural	LUM		lumican, collagen fibril assembly
collagen_ecm_structural	DCN		decorin, TGF-beta sequestering proteoglycan
collagen_ecm_structural	POSTN		periostin, myofibroblast matrix
collagen_ecm_structural	SPARC		matricellular, osteonectin
collagen_ecm_structural	BGN		biglycan
collagen_ecm_structural	VCAN		versican
collagen_ecm_structural	ELN		elastin
collagen_ecm_structural	FBN1		fibrillin
collagen_ecm_structural	MGP		matrix Gla protein
collagen_ecm_structural	OGN		osteoglycin
collagen_ecm_structural	ASPN		asporin
collagen_ecm_structural	TNC		tenascin C, stress-induced matrix
collagen_ecm_structural	LTBP1		latent TGF-beta binding protein, matrix TGF-beta reservoir
collagen_ecm_structural	LTBP2		latent TGF-beta binding protein
ecm_remodeling	LOX		lysyl oxidase, collagen crosslinking; MK-derived in myelofibrosis
ecm_remodeling	LOXL1		lysyl oxidase like
