signature	gene	weight
LSC17	DNMT3B	0.0874
LSC17	ZBTB46	-0.0347
LSC17	NYNRIN	0.00865
LSC17	ARHGAP22	-0.0138
LSC17	LAPTM4B	0.00582
LSC17	MMRN1	0.0258
LSC17	DPYSL3	0.0284
LSC17	FAM30A	0.0866
LSC17	CDK6	-0.0157
LSC17	CPXM1	-0.0117
LSC17	SOCS2	0.0271
LSC17	SMIM24	-0.0201
LSC17	EMP1	0.0146
LSC17	BEX3	0.0189
LSC17	CD34	0.0338
LSC17	AKR1C3	-0.0193
LSC17	ADGRG1	0.0512
HSPC_core	CRHBP	1
HSPC_core	AVP	1
HSPC_core	HLF	1
HSPC_core	MECOM	1
HSPC_core	MLLT3	1
HSPC_core	HOXA9	1
HSPC_core	MEIS1	1
HSPC_core	GATA2	1
HSPC_core	RUNX1	1
HSPC_core	MEF2C	1
HSPC_core	SPINK2	1
HSPC_core	CD34	1
HSPC_core	KIT	1
HSPC_core	FLT3	1
HSPC_core	EGFL7	1
HSPC_core	HOPX	1
HSPC_core	NPR3	1
HSPC_core	MSI2	1
HSPC_core	PRDM16	1
HSPC_core	ANGPT1	1
vanGalen_HSC_Prog	SPINK2	1
vanGalen_HSC_Prog	ZFAS1	1
vanGalen_HSC_Prog	NRIP1	1
vanGalen_HSC_Prog	GAS5	1
vanGalen_HSC_Prog	JUN	1
vanGalen_HSC_Prog	MEIS1	1
vanGalen_HSC_Prog	HLF	1
vanGalen_HSC_Prog	EGR1	1
vanGalen_HSC_Prog	CRHBP	1
vanGalen_HSC_Prog	NPR3	1
vanGalen_HSC_Prog	FAM30A	1
vanGalen_HSC_Prog	MMRN1	1
vanGalen_HSC_Prog	MSI2	1
vanGalen_HSC_Prog	ANGPT1	1
vanGalen_HSC_Prog	EIF4A2	1
vanGalen_HSC_Prog	TPT1	1
vanGalen_HSC_Prog	COMMD6	1
vanGalen_HSC_Prog	EEF1A1	1
vanGalen_HSC_Prog	SNORD13	1
vanGalen_HSC_Prog	FAU	1
vanGalen_HSC_Prog	FOS	1
vanGalen_HSC_Prog	PHLDB2	1
vanGalen_HSC_Prog	MSRB3	1
vanGalen_HSC_Prog	GUCY1A3	1
vanGalen_HSC_Prog	C6orf48	1
vanGalen_HSC_Prog	GBP4	1
vanGalen_HSC_Prog	PCDH9	1
vanGalen_HSC_Prog	SNHG6	1
vanGalen_HSC_Prog	RACK1	1
vanGalen_HSC_Prog	ADGRG6	1
vanGalen_HSC_Prog	PREX2	1
vanGalen_HSC_Prog	PRKG2	1
vanGalen_HSC_Prog	HINT1	1
vanGalen_HSC_Prog	RNA5-8S	1
vanGalen_HSC_Prog	NFKBIZ	1
vanGalen_HSC_Prog	MYCT1	1
vanGalen_HSC_Prog	TUBA1A	1
vanGalen_HSC_Prog	CD34	1
vanGalen_HSC_Prog	ZBTB20	1
vanGalen_HSC_Prog	TFPI	1
vanGalen_HSC_Prog	SNHG8	1
vanGalen_HSC_Prog	AVP	1
vanGalen_HSC_Prog	CEP70	1
vanGalen_HSC_Prog	H3F3B	1
vanGalen_HSC_Prog	RNU4-2	1
vanGalen_HSC_Prog	HIST1H2BG	1
vanGalen_HSC_Prog	HOPX	1
vanGalen_HSC_Prog	TSC22D1	1
vanGalen_HSC_Prog	LRRC70	1
vanGalen_HSC_Prog	PBX1	1
vanGalen_HSCprog_like	SPINK2	1
vanGalen_HSCprog_like	ANGPT1	1
vanGalen_HSCprog_like	GUCY1A3	1
vanGalen_HSCprog_like	FAM30A	1
vanGalen_HSCprog_like	MMRN1	1
vanGalen_HSCprog_like	TPT1	1
vanGalen_HSCprog_like	GAS5	1
vanGalen_HSCprog_like	RAB27B	1
vanGalen_HSCprog_like	TPM4	1
vanGalen_HSCprog_like	MSI2	1
vanGalen_HSCprog_like	GCSAML	1
vanGalen_HSCprog_like	SOCS2	1
vanGalen_HSCprog_like	EEF1A1	1
vanGalen_HSCprog_like	NRIP1	1
vanGalen_HSCprog_like	HOPX	1
vanGalen_HSCprog_like	CD34	1
vanGalen_HSCprog_like	TFPI	1
vanGalen_HSCprog_like	TPSD1	1
vanGalen_HSCprog_like	PDZRN4	1
vanGalen_HSCprog_like	PCNP	1
vanGalen_HSCprog_like	PTPRCAP	1
vanGalen_HSCprog_like	FLT3	1
vanGalen_HSCprog_like	SMIM24	1
vanGalen_HSCprog_like	SELENOP	1
vanGalen_HSCprog_like	DAPK1	1
vanGalen_HSCprog_like	SMYD3	1
vanGalen_HSCprog_like	ADGRG6	1
vanGalen_HSCprog_like	PIM1	1
vanGalen_HSCprog_like	MECOM	1
vanGalen_HSCprog_like	CEP70	1
vanGalen_HSCprog_like	XIRP2	1
vanGalen_HSCprog_like	SPAG6	1
vanGalen_HSCprog_like	TAPT1-AS1	1
vanGalen_HSCprog_like	GNA15	1
vanGalen_HSCprog_like	DSE	1
vanGalen_HSCprog_like	TPSAB1	1
vanGalen_HSCprog_like	TPSB2	1
vanGalen_HSCprog_like	H2AFY	1
vanGalen_HSCprog_like	SCHIP1	1
vanGalen_HSCprog_like	LINC02470	1
vanGalen_HSCprog_like	NPR3	1
vanGalen_HSCprog_like	KMT2A	1
vanGalen_HSCprog_like	CD200	1
vanGalen_HSCprog_like	MACF1	1
vanGalen_HSCprog_like	GBP4	1
vanGalen_HSCprog_like	ABCC1	1
vanGalen_HSCprog_like	PROM1	1
vanGalen_HSCprog_like	TMEM70	1
vanGalen_HSCprog_like	FAM110A	1
vanGalen_HSCprog_like	TMEM123	1
vanGalen_HSC_like	NPTX2	1
vanGalen_HSC_like	H1F0	1
vanGalen_HSC_like	EMP1	1
vanGalen_HSC_like	MEIS1	1
vanGalen_HSC_like	CALCRL	1
vanGalen_HSC_like	TPSD1	1
vanGalen_HSC_like	TPT1	1
vanGalen_HSC_like	CRHBP	1
vanGalen_HSC_like	CLNK	1
vanGalen_HSC_like	TSC22D1	1
vanGalen_HSC_like	DST	1
vanGalen_HSC_like	NRIP1	1
vanGalen_HSC_like	ABCB1	1
vanGalen_HSC_like	GABRA4	1
vanGalen_HSC_like	ZBTB20	1
vanGalen_HSC_like	ABCA9	1
vanGalen_HSC_like	TPSB2	1
vanGalen_HSC_like	KMT2A	1
vanGalen_HSC_like	FAM30A	1
vanGalen_HSC_like	MEF2C	1
vanGalen_HSC_like	TMEM74	1
vanGalen_HSC_like	PDZRN4	1
vanGalen_HSC_like	ST3GAL1	1
vanGalen_HSC_like	XIRP2	1
vanGalen_HSC_like	RBPMS	1
vanGalen_HSC_like	TMEM25	1
vanGalen_HSC_like	C20orf203	1
vanGalen_HSC_like	GNG11	1
vanGalen_HSC_like	SLC6A13	1
vanGalen_HSC_like	HOPX	1
vanGalen_HSC_like	CMTM2	1
vanGalen_HSC_like	HIST1H2BK	1
vanGalen_HSC_like	NPDC1	1
vanGalen_HSC_like	SCRN1	1
vanGalen_HSC_like	MECOM	1
vanGalen_HSC_like	CXCL2	1
vanGalen_HSC_like	CCS	1
vanGalen_HSC_like	FAM74A4	1
vanGalen_HSC_like	UMODL1-AS1	1
vanGalen_HSC_like	CCDC18-AS1	1
vanGalen_HSC_like	TTLL10	1
vanGalen_HSC_like	CFAP61	1
vanGalen_HSC_like	PLCB4	1
vanGalen_HSC_like	SPON1	1
